Date,Custom,Standard,NautilusTrader
2023-01-01,100000.0,100000.0,100000.0
2023-01-02,100250.47326285933,100000.0,99942.66562
2023-01-03,100265.73088059455,99980.849845,99942.66562
2023-01-04,101504.52516149705,100567.96984500001,99942.66562
2023-01-05,101321.6253397297,100484.599845,99942.66562
2023-01-06,101718.15059847047,100687.99984500001,99942.66562
2023-01-07,101526.68966144815,100603.819845,99942.66562
2023-01-08,102079.45723335772,100889.179845,99942.66562
2023-01-09,103192.63669717837,101382.889845,99942.66562
2023-01-10,103088.30284582447,101394.629845,99942.66562
2023-01-11,103952.59355335377,101859.889845,99942.66562
2023-01-12,102727.6807041078,101434.06984499999,99942.66562
2023-01-13,101668.03559613635,100985.719845,99942.66562
2023-01-14,103641.14943829266,101737.40984500002,99942.66562
2023-01-15,103900.18907885725,101867.989845,99942.66562
2023-01-16,104323.60253488924,101993.399845,99942.66562
2023-01-17,103941.88519775214,101839.579845,99942.66562
2023-01-18,102530.13273742633,101322.399845,99942.66562
2023-01-19,103421.10907179992,101642.15984499999,99942.66562
2023-01-20,104940.80925933953,101980.27984500001,99942.66562
2023-01-21,103422.55926837584,101290.459845,99942.66562
2023-01-22,103573.2191737058,101380.169845,99942.66562
2023-01-23,103195.35678722727,101150.899845,99942.66562
2023-01-24,100709.42536790701,100168.699845,99942.66562
2023-01-25,102355.19128040159,100748.109845,99942.66562
2023-01-26,101980.43870750107,100604.09984499999,99942.66562
2023-01-27,101736.67166660877,100477.129845,99942.66562
2023-01-28,100753.78957481461,100069.329845,99942.66562
2023-01-29,102668.28040301628,100656.789845,99942.66562
2023-01-30,100720.96258561948,100159.579845,99942.66562
2023-01-31,101046.81891624417,100204.939845,99942.66562
2023-02-01,102466.76503775424,100611.709845,99942.66562
2023-02-02,102875.10260218369,100881.349845,99942.66562
2023-02-03,103806.4162681466,101305.58984500001,99942.66562
2023-02-04,104080.32814747776,101462.129845,99942.66562
2023-02-05,103113.15333446968,101183.579845,99942.66562
2023-02-06,102761.44874286297,101088.829845,99942.66562
2023-02-07,104372.71503342636,101632.209845,99942.66562
2023-02-08,103929.77868455612,101538.86984500001,99942.66562
2023-02-09,101350.80853756284,100814.079845,99942.66562
2023-02-10,100293.79373857452,100404.019845,99942.66562
2023-02-11,100941.35541062502,100624.75984500001,99942.66562
2023-02-12,100088.78704879747,100277.529845,99942.66562
2023-02-13,99705.79410073569,100114.479845,99942.66562
2023-02-14,101079.35080840604,100597.06984499999,99942.66562
2023-02-15,102554.87906278478,100618.63984500001,99942.66562
2023-02-16,102093.08842606409,100757.529845,99942.66562
2023-02-17,102900.22985750253,100713.81984499999,99942.66562
2023-02-18,102720.43317641418,100611.339845,99942.66562
2023-02-19,102699.69268580429,100757.86984500001,99942.66562
2023-02-20,102904.8982708932,100610.78984499999,99942.66562
2023-02-21,101596.1261292487,100217.649845,99942.66562
2023-02-22,101262.82188764415,100188.43984500002,99942.66562
2023-02-23,101898.58674448614,100563.469845,99942.66562
2023-02-24,101168.8221732244,100549.239845,99942.66562
2023-02-25,100657.45901430864,100339.499845,99942.66562
2023-02-26,102013.24300603292,100783.759845,99942.66562
2023-02-27,101772.39141259866,100704.139845,99942.66562
2023-02-28,101103.21103359135,100546.699845,99942.66562
2023-03-01,102873.59590048417,101139.11984500001,99942.66562
2023-03-02,102382.11682836962,100990.28984499999,99942.66562
2023-03-03,100722.52976759776,100689.889845,99942.66562
