feature,importance
log_ret_lag21,115.44444444444444
pct_ret_lag20,100.27777777777777
log_ret_lag2,97.22222222222223
log_ret_lag3,92.94444444444444
lower_shadow_pct,89.88888888888889
log_ret_lag10,89.55555555555556
log_ret_lag14,87.11111111111111
log_ret_lag7,82.55555555555556
log_ret_lag5,79.5
obv_roc_10,78.0
rv_ratio_10_20,76.16666666666667
rv_ratio_5_60,75.94444444444444
log_ret_lag1,75.55555555555556
stoch_5,67.16666666666667
fr_roc_7d,65.83333333333333
vol_zscore_20,64.55555555555556
fr_zscore_7d,64.33333333333333
body_pct,63.55555555555556
fr_roc_1d,62.666666666666664
obv_roc_5,60.166666666666664
vol_zscore_5,59.94444444444444
fr_roc_3d,58.888888888888886
fr_zscore_30d,53.77777777777778
roc_5,52.5
upper_shadow_pct,51.44444444444444
fr_zscore_90d,50.888888888888886
vol_zscore_60,50.833333333333336
rv_ratio_5_20,50.833333333333336
obv_roc_20,50.833333333333336
macd_hist_26_50,49.05555555555556
macd_hist_5_13,49.0
rv_5,48.0
rsi_7,43.44444444444444
bb_width_50,41.77777777777778
bb_pctb_10,41.44444444444444
rv_10,41.27777777777778
roc_60,40.833333333333336
bb_width_10,39.94444444444444
daily_range_pct,39.27777777777778
ema9,37.5
fr_7d_avg,37.333333333333336
stoch_21,37.111111111111114
macd_hist_12_26,36.611111111111114
fr_5d_avg,36.5
macd_line_26_50,35.5
rsi_28,35.166666666666664
atr_14_pct,35.05555555555556
roc_10,35.0
atr_21_pct,34.77777777777778
rv_60,34.05555555555556
bb_pctb_20,34.0
rsi_14,33.05555555555556
bb_width_20,32.166666666666664
atr_7_pct,29.88888888888889
price_vs_ema9,29.555555555555557
stoch_14,29.38888888888889
fr_20d_avg,29.11111111111111
roc_20,28.944444444444443
sma200,28.555555555555557
atr_14,28.166666666666668
rv_20,27.77777777777778
macd_line_5_13,27.0
price_vs_sma200,26.27777777777778
atr_7,26.166666666666668
rsi_7_vs50,25.61111111111111
ema50,24.944444444444443
price_vs_sma50,23.72222222222222
ema21,22.88888888888889
macd_line_12_26,22.666666666666668
pct_ret_lag10,22.61111111111111
atr_21,21.944444444444443
sma20,21.666666666666668
fr_raw,21.055555555555557
bb_pctb_50,20.61111111111111
day_of_week_sin,19.166666666666668
price_vs_ema50,19.11111111111111
price_vs_ema21,18.555555555555557
price_vs_sma20,18.555555555555557
pct_ret_lag1,17.833333333333332
day_of_week,17.61111111111111
sma50,16.944444444444443
month,16.444444444444443
pct_ret_lag5,15.666666666666666
rsi_28_vs50,15.555555555555555
day_of_week_cos,15.222222222222221
month_cos,14.833333333333334
rsi_14_vs50,13.333333333333334
month_sin,11.333333333333334
high_vol_regime,2.7222222222222223
macd_cross_5_13,1.0
ema50_vs_sma200,0.6111111111111112
ema21_vs_ema50,0.2777777777777778
macd_cross_12_26,0.2777777777777778
macd_cross_26_50,0.2222222222222222
ema9_vs_ema21,0.0
fr_high_flag,0.0
fr_low_flag,0.0
