,lgbm_net,lgbm_gross,ma_net,ma_gross,buy_and_hold
2021-08-18 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0
2021-08-19 00:00:00+00:00,0.9430552459152359,0.942755245915236,1.056944754084764,1.057244754084764,1.056944754084764
2021-08-20 00:00:00+00:00,0.9142237297737248,0.913225363698825,1.0892581523401397,1.09036078626524,1.0892581523401397
2021-08-21 00:00:00+00:00,0.9314936312137312,0.9299581869038025,1.0686818094592854,1.0703823505017833,1.0686818094592854
2021-08-22 00:00:00+00:00,0.9276666913204465,0.9256663826008651,1.073072372006147,1.0753222194575764,1.073072372006147
2021-08-23 00:00:00+00:00,0.9495831453320008,0.9490044537966367,1.0984240867030135,1.102433441154516,1.0984240867030135
2021-08-24 00:00:00+00:00,0.9932992317689409,0.9915653048772273,1.0478557899142822,1.0529916231234966,1.0478557899142822
2021-08-25 00:00:00+00:00,0.9932992317689409,0.9915653048772273,1.0651700610152153,1.0708799867297005,1.0651700610152153
2021-08-26 00:00:00+00:00,1.0348721141798696,1.0327681470790249,1.020589144934805,1.0263813552293273,1.020589144934805
2021-08-27 00:00:00+00:00,0.9749253935903766,0.9726334719044594,1.079708500331256,1.0861441486273533,1.079708500331256
2021-08-28 00:00:00+00:00,0.9831985524272223,0.9805419064741625,1.0705461582900495,1.077312764369246,1.0705461582900495
2021-08-29 00:00:00+00:00,0.9901667156910329,0.9871306079450094,1.0629589416551244,1.0700738160404741,1.0629589416551244
2021-08-30 00:00:00+00:00,0.9901667156910329,0.9871306079450094,1.0642746301276098,1.0717193331674544,1.0642746301276098
2021-08-31 00:00:00+00:00,0.9901667156910329,0.9871306079450094,1.1297517491206188,1.1380907356722234,1.1297517491206188
2021-09-01 00:00:00+00:00,1.1055987144875215,1.1025048015020673,1.2614563403558534,1.2711088993945423,1.2614563403558534
2021-09-02 00:00:00+00:00,1.091851451051592,1.0902782159321973,1.2457711080952192,1.257012523845069,1.2457711080952192
2021-09-03 00:00:00+00:00,1.0489447050728704,1.0460104370649626,1.2947264714197728,1.3080500953802765,1.2947264714197728
2021-09-04 00:00:00+00:00,1.0654155265372751,1.060092402880897,1.2743963163097258,1.2904404080617065,1.2743963163097258
2021-09-05 00:00:00+00:00,1.0504321118304016,1.0429634118967195,1.2923187212611922,1.3112913660114454,1.2923187212611922
2021-09-06 00:00:00+00:00,1.0423712073298428,1.0367466263237524,1.2824016046012507,1.3034751596582894,1.2824016046012507
2021-09-07 00:00:00+00:00,1.0423712073298428,1.0367466263237524,1.119436703840398,1.1395869619308283,1.119436703840398
2021-09-08 00:00:00+00:00,1.0235692280516615,1.0177350775633063,1.1396287674362056,1.1604843659285058,1.1396287674362056
2021-09-09 00:00:00+00:00,1.044818854302413,1.0385582644509777,1.1159697078348145,1.1367404827071408,1.1159697078348145
2021-09-10 00:00:00+00:00,1.111174077518027,1.104204317449382,1.045095777143084,1.064888446545575,1.045095777143084
2021-09-11 00:00:00+00:00,1.0916403085424813,1.0844618113498818,1.0634679295187321,1.0839280086256944,1.0634679295187321
2021-09-12 00:00:00+00:00,1.0458662008784638,1.0386633702453203,1.1080607272764615,1.1297039064443888,1.1080607272764615
2021-09-13 00:00:00+00:00,1.0832821180406613,1.075510006759848,1.0684197977315186,1.0896276022227747,1.0684197977315186
2021-09-24 00:00:00+00:00,1.2012613646169248,1.1927534699146598,0.9520591926183113,0.970845152193746,0.9520591926183113
2021-09-25 00:00:00+00:00,1.2012613646169248,1.1927534699146598,0.9503310811066176,0.969090155096624,0.9503310811066176
2021-09-26 00:00:00+00:00,1.2572302924984196,1.248510411291427,0.9946087156902961,1.0143916397113706,0.9946087156902961
2021-09-27 00:00:00+00:00,1.20174293149616,1.1937824519159008,0.950712053962691,0.9699261839595252,0.950712053962691
2021-09-28 00:00:00+00:00,1.1523341949618078,1.1447424763805678,0.9116242589250335,0.930082109977606,0.9116242589250335
2021-09-29 00:00:00+00:00,1.1707884707090304,1.1630681558312401,0.926223639491552,0.9449713859168943,0.926223639491552
2021-09-30 00:00:00+00:00,1.2328012431132713,1.2247539935008718,0.9752826259679332,0.9950899892178813,0.9752826259679332
2021-10-01 00:00:00+00:00,1.3596509657070968,1.3509798689150059,1.0756348370365938,1.0976461806419504,1.0756348370365938
2021-10-02 00:00:00+00:00,1.391572269491361,1.3831028903585083,1.1008881316393937,1.1237455420087912,1.1008881316393937
2021-10-03 00:00:00+00:00,1.4038904212083239,1.395761002278536,1.1106331569796115,1.1340300240524175,1.1106331569796115
2021-10-04 00:00:00+00:00,1.4175075217021766,1.4088805227943582,1.0998605189717394,1.1233706560504269,1.0998605189717394
2021-10-05 00:00:00+00:00,1.4721395589848052,1.4636027317999203,1.1422501500376832,1.1670034005142238,1.1422501500376832
2021-10-06 00:00:00+00:00,1.4478653349334598,1.438966919792474,1.161084801885378,1.1866467612175498,1.161084801885378
2021-10-07 00:00:00+00:00,1.443706945728611,1.4337370191935386,1.1644195336381045,1.1909596085261671,1.1644195336381045
2021-10-08 00:00:00+00:00,1.4549777276091902,1.44413703924446,1.1553291024948937,1.1823206436095213,1.1553291024948937
2021-10-09 00:00:00+00:00,1.44970259813915,1.438467972380898,1.1595178336902368,1.1869619308285642,1.1595178336902368
2021-10-10 00:00:00+00:00,1.5160990176533093,1.5039183053296057,1.1064118844985418,1.132955129800116,1.1064118844985418
2021-10-11 00:00:00+00:00,1.5721601792527102,1.5603271872156523,1.147323945472223,1.1754499460894081,1.147323945472223
