Date,Custom,Standard,NautilusTrader
2020-03-31,100000.0,100000.0,99949.397119168
2020-04-01,100000.0,100000.0,99994.087919168
2020-04-02,100000.0,100000.0,99994.087919168
2020-04-03,100000.0,100000.0,99994.087919168
2020-04-04,100000.0,100000.0,99994.087919168
2020-04-05,100000.0,100000.0,99994.087919168
2020-04-06,100000.0,100000.0,99994.087919168
2020-04-07,100000.0,100000.0,99994.087919168
2020-04-08,100000.0,100000.0,99994.087919168
2020-04-09,100000.0,100000.0,99994.087919168
2020-04-10,100000.0,100000.0,99994.087919168
2020-04-11,100000.0,100000.0,99994.087919168
2020-04-12,100000.0,100000.0,99994.087919168
2020-04-13,100000.0,100000.0,99994.087919168
2020-04-14,100000.0,100000.0,99994.087919168
2020-04-15,100000.0,100000.0,99994.087919168
2020-04-16,100000.0,100000.0,99994.087919168
2020-04-17,100000.0,100000.0,99994.087919168
2020-04-18,100000.0,100000.0,99994.087919168
2020-04-19,100000.0,100000.0,99994.087919168
2020-04-20,100000.0,100000.0,99994.087919168
2020-04-21,100000.0,100000.0,99994.087919168
2020-04-22,100000.0,100000.0,99994.087919168
2020-04-23,100000.0,100000.0,99994.087919168
2020-04-24,100000.0,100000.0,99994.087919168
2020-04-25,100000.0,100000.0,99994.087919168
2020-04-26,100000.0,100000.0,99994.087919168
2020-04-27,100000.0,100000.0,99994.087919168
2020-04-28,100000.0,100000.0,99994.087919168
2020-04-29,100000.0,100000.0,99994.087919168
2020-04-30,100000.0,100000.0,99994.087919168
2020-05-01,100000.0,100000.0,99994.087919168
2020-05-02,100000.0,100000.0,99994.087919168
2020-05-03,100000.0,100000.0,99994.087919168
2020-05-04,100000.0,100000.0,99994.087919168
2020-05-05,100000.0,100000.0,99994.087919168
2020-05-06,100000.0,100000.0,99994.087919168
2020-05-07,100000.0,100000.0,99994.087919168
2020-05-08,100000.0,100000.0,99994.087919168
2020-05-09,100000.0,100000.0,99994.087919168
2020-05-10,100000.0,100000.0,99994.087919168
