Event Group,Mechanism,Horizon,Events Count,Mean Return [%],Std Dev [%],t-statistic,p-value
Crowded Shorts (Low Funding <= 5%),Contrarian Long (+),1d,118,0.9508751594022868,3.487728763044088,2.9615686404773007,0.0037073954688712336
Crowded Shorts (Low Funding <= 5%),Contrarian Long (+),3d,118,1.848700764477683,5.469078443076979,3.671922209098297,0.00036425737736055344
Crowded Shorts (Low Funding <= 5%),Contrarian Long (+),7d,118,4.951955148924336,9.042849189146649,5.948567830766839,2.8795040599231738e-08
Crowded Longs (High Funding >= 95%),Contrarian Short (-),1d,118,0.022293990681403832,4.0246182823550445,0.060173340688409856,0.9521202406842477
Crowded Longs (High Funding >= 95%),Contrarian Short (-),3d,118,1.0169886238022698,7.460785524051965,1.480718638378983,0.14136950539513526
Crowded Longs (High Funding >= 95%),Contrarian Short (-),7d,118,1.2041413777782979,12.13510392854763,1.0778913426860564,0.2832995804079978
