,lgbm_net,rf_net,lr_net,buy_and_hold
2021-07-22 00:00:00+00:00,1.0,1.0,1.0,1.0
2021-07-23 00:00:00+00:00,0.9576563362403314,1.0,1.0,1.0423436637596686
2021-07-24 00:00:00+00:00,0.9406998382176318,1.0,1.0,1.060799656379007
2021-07-25 00:00:00+00:00,0.909352520734099,1.0,1.0,1.0961491082062136
2021-07-26 00:00:00+00:00,0.909352520734099,1.0,1.0,1.1534016092048776
2021-07-31 00:00:00+00:00,0.909352520734099,1.0,1.1136549457535303,1.2844914065310924
2021-08-01 00:00:00+00:00,0.9444849663878848,1.038634572239844,1.1136549457535303,1.234865630494008
2021-08-02 00:00:00+00:00,0.9610604170766242,1.038634572239844,1.0941106085808543,1.2131940792317866
2021-08-03 00:00:00+00:00,0.984240771648926,1.038634572239844,1.0677211419067743,1.1839323716201537
2021-08-04 00:00:00+00:00,1.0236083311482498,1.038634572239844,1.1104277405292646,1.2312871748608765
2021-08-05 00:00:00+00:00,1.053264169677144,1.038634572239844,1.14259889893924,1.2669598560312334
2021-08-06 00:00:00+00:00,1.053264169677144,1.038634572239844,1.14259889893924,1.3271750344225306
2021-08-07 00:00:00+00:00,1.0095924512422725,1.038634572239844,1.14259889893924,1.3822039778592548
2021-08-08 00:00:00+00:00,1.028004605106615,1.0575763734878374,1.14259889893924,1.3569964277424367
2021-08-09 00:00:00+00:00,0.9699696655361852,1.0575763734878374,1.2071031411612883,1.4336042612969895
2021-08-10 00:00:00+00:00,0.9840120909022433,1.0575763734878374,1.2071031411612883,1.4128497144704169
2021-08-11 00:00:00+00:00,0.9854769936278093,1.0591507916543825,1.2071031411612883,1.4107463994637433
2021-08-12 00:00:00+00:00,0.9854769936278093,1.0591507916543825,1.1769526893678606,1.3755094426044785
2021-08-13 00:00:00+00:00,0.9098222214419872,1.0591507916543825,1.2673069930841026,1.481106888503851
2021-08-14 00:00:00+00:00,0.9233152072505122,1.0748583730522412,1.2485123814888541,1.4591415487303099
