Date,Open,High,Low,Close,Volume,funding_rate,funding_mean_3,funding_mean_14,funding_mean_30,funding_vol_3,funding_vol_14,funding_vol_30,funding_z_5,funding_z_20,funding_z_60,price_vol_5,price_vol_20,price_vol_60,rsi_7,rsi_14,rsi_28,sma_10,sma_50,sma_200
2020-01-01,129.16,133.05,128.68,130.77,144770.52197,1.2290000000000033e-05,,,,,,,,,,,,,,,,,,
2020-01-02,130.72,130.78,126.38,127.19,213757.05806,0.00025047000000000003,,,,,,,,,,,,,,,,,,
2020-01-03,127.19,135.14,125.88,134.35,413055.18895,0.00030000000000000003,0.00018758666666666667,,,0.00015381806211668813,,,,,,,,,,,,,,
2020-01-04,134.37,135.85,132.5,134.2,184276.17102,0.00030000000000000003,0.00028349,,,2.8596158832962115e-05,,,,,,,,,,,,,,
2020-01-05,134.2,138.19,134.19,135.37,254120.45343,0.00030000000000000003,0.00030000000000000003,,,0.0,,,0.5396094675430321,,,,,,,,,,,
2020-01-06,135.37,144.41,134.86,144.15,408020.27375,0.00030000000000000003,0.00030000000000000003,,,0.0,,,0.4470117887673878,,,0.7336000585198896,,,,,,,,
2020-01-07,144.14,145.31,138.76,142.8,447762.17281,0.00030000000000000003,0.00030000000000000003,,,0.0,,,0.0,,,0.6360455605381516,,,77.1068048646248,,,,,
2020-01-08,142.8,147.77,137.03,140.72,570465.57764,0.00030000000000000003,0.00030000000000000003,,,0.0,,,0.0,,,0.5965872011545788,,,70.49855788836628,,,,,
2020-01-09,140.76,141.5,135.3,137.74,366076.06569,0.00030000000000000003,0.00030000000000000003,,,0.0,,,0.0,,,0.6514588234175612,,,72.28559357623152,,,,,
2020-01-10,137.73,145.17,135.32,144.84,409403.59507,0.00030000000000000003,0.00030000000000000003,,,0.0,,,0.0,,,0.7595871852610049,,,72.21516306435618,,,137.21300000000002,,
2020-01-11,144.83,148.05,142.09,142.38,368350.57939,0.00030000000000000003,0.00030000000000000003,,,0.0,,,0.0,,,0.5692463716891116,,,65.77932098587787,,,138.374,,
2020-01-12,142.4,146.6,141.76,146.54,229541.86137,0.00030000000000000003,0.00030000000000000003,,,0.0,,,0.0,,,0.6182479617753239,,,69.31857488590371,,,140.309,,
2020-01-13,146.56,147.0,142.27,143.58,207996.61865,0.00030000000000000003,0.00030000000000000003,,,0.0,,,0.0,,,0.6367041508595797,,,48.76569943550733,,,141.23200000000003,,
2020-01-14,143.58,171.7,143.51,165.64,1108476.31186,0.00030000000000000003,0.00030000000000000003,0.0002759114285714286,,0.0,7.701480136033221e-05,,0.0,,,1.270465549990297,,,76.07305935951482,76.42066979683301,,144.376,,
2020-01-15,165.6,171.98,159.2,166.4,721687.80381,0.00063631,0.00041210333333333336,0.0003204842857142858,,0.00019416866903116298,9.185404540434159e-05,,1.7887354520225942,,,1.286448134673556,,,80.22598869924302,76.68913857517056,,147.47899999999998,,
2020-01-16,166.4,167.4,157.8,164.21,456170.86719,0.00097811,0.00063814,0.0003724585714285715,,0.0003390587039142336,0.00019600513418931506,,1.56858153803455,,,1.2744618385742277,,,81.74622211424271,78.32007343773489,,149.485,,
2020-01-17,164.24,174.81,162.14,169.85,767180.67853,0.00049099,0.0007018033333333332,0.0003861007142857143,,0.0002500770004085407,0.00019721680890541542,,-0.17742531160977168,,,1.2752651515687057,,,81.08376833067965,77.80388471007323,,152.19,,
2020-01-18,169.92,179.5,164.92,174.14,688783.17982,0.00031014,0.00059308,0.00038682500000000004,,0.00034548915511199474,0.00019689463389765675,,-0.8314689889231541,,,1.167561327378042,,,87.75558725484005,79.37628714164275,,155.532,,
