Date,Custom,Standard,NautilusTrader
2023-01-01,100000.0,2.0,100000.0
2023-01-02,100000.0,2.0,100000.0
2023-01-03,100000.0,2.0,100000.0
2023-01-04,100000.0,2.0,100000.0
2023-01-05,100000.0,2.0,100000.0
2023-01-06,100000.0,2.0,100000.0
2023-01-07,100000.0,2.0,100000.0
2023-01-08,100000.0,2.0,100000.0
2023-01-09,100000.0,2.0,100000.0
2023-01-10,100000.0,2.0,100000.0
2023-01-11,100000.0,2.0,100000.0
2023-01-12,100000.0,2.0,100000.0
2023-01-13,98217.56665706424,1.9877166419,99197.09436232
2023-01-14,99269.11337601385,1.9968284419,99541.80546232
2023-01-15,99532.41175834597,1.9992828419000002,99683.01948232
2023-01-16,99718.874290418,2.0003258418999996,99695.92290231999
2023-01-17,99421.83505140411,1.9979316419,99576.01683231999
2023-01-18,98469.68364374491,1.9908364419,99261.69429232
2023-01-19,99004.08429724554,1.9948520418999998,99421.37595232
2023-01-20,99433.71427253357,1.9951686418999999,99223.39968232
2023-01-21,98090.40377858363,1.9832838419,98578.13082232
2023-01-22,98252.55022003397,1.9850312419,98680.91160232
2023-01-23,97836.1130988691,1.9805148418999998,98413.56855232001
2023-01-24,95856.50383641498,1.9650900419,97634.73183232002
2023-01-25,97053.0192107181,1.9733200419,98013.11910232001
2023-01-26,96757.61405442438,1.9710908418999997,97901.83455232001
2023-01-27,96522.00553410983,1.9687596418999997,97769.67978232
2023-01-28,95711.65983090334,1.9621348419,97425.75186232002
2023-01-29,97012.5683865509,1.9695268419,97720.43448232001
2023-01-30,95745.73454832623,1.9642938419,97566.49656232001
2023-01-31,95885.15886151724,1.9640532418999999,97513.60479232
2023-02-01,96819.87408936472,1.9688076419,97683.58824232001
2023-02-02,97267.50832457765,1.9741140418999998,97997.56848232
2023-02-03,98081.13553362153,1.9813748418999997,98389.80288232
2023-02-04,97934.33255643703,1.9799233009,98310.63953494001
2023-02-05,97934.25883039994,1.9799233009,98310.63953494001
2023-02-06,97934.25879466963,1.9799233009,98310.63953494001
2023-02-07,97934.2587946517,1.9799233009,98310.63953494001
2023-02-08,97934.25879465169,1.9799233009,98310.63953494001
2023-02-09,97934.25879465169,1.9799233009,98310.63953494001
2023-02-10,97934.25879465169,1.9799233009,98310.63953494001
2023-02-11,97934.25879465169,1.9799233009,98310.63953494001
2023-02-12,97934.25879465169,1.9799233009,98310.63953494001
2023-02-13,97934.25879465169,1.9799233009,98310.63953494001
2023-02-14,97934.25879465169,1.9799233009,98310.63953494001
2023-02-15,97934.25879465169,1.9799233009,98310.63953494001
2023-02-16,97934.25879465169,1.9799233009,98310.63953494001
2023-02-17,97934.25879465169,1.9799233009,98310.63953494001
2023-02-18,97934.25879465169,1.9799233009,98310.63953494001
2023-02-19,97934.25879465169,1.9799233009,98310.63953494001
2023-02-20,97934.25879465169,1.9799233009,98310.63953494001
2023-02-21,97934.25879465169,1.9799233009,98310.63953494001
2023-02-22,97934.25879465169,1.9799233009,98310.63953494001
2023-02-23,97934.25879465169,1.9799233009,98310.63953494001
2023-02-24,97934.25879465169,1.9799233009,98310.63953494001
2023-02-25,97934.25879465169,1.9799233009,98310.63953494001
2023-02-26,97934.25879465169,1.9799233009,98310.63953494001
2023-02-27,97934.25879465169,1.9799233009,98310.63953494001
2023-02-28,97934.25879465169,1.9799233009,98310.63953494001
2023-03-01,97934.25879465169,1.9799233009,98310.63953494001
2023-03-02,97934.25879465169,1.9799233009,98310.63953494001
2023-03-03,97934.25879465169,1.9799233009,98310.63953494001
2023-03-04,97934.25879465169,1.9799233009,98310.63953494001
2023-03-05,97934.25879465169,1.9799233009,98310.63953494001
2023-03-06,97934.25879465169,1.9799233009,98310.63953494001
2023-03-07,97934.25879465169,1.9799233009,98310.63953494001
2023-03-08,97934.25879465169,1.9799233009,98310.63953494001
2023-03-09,97934.25879465169,1.9799233009,98310.63953494001
2023-03-10,97934.25879465169,1.9799233009,98310.63953494001
2023-03-11,97934.25879465169,1.9799233009,98310.63953494001
2023-03-12,97934.25879465169,1.9799233009,98310.63953494001
2023-03-13,98111.10328866995,1.9512761524,94497.75905727
2023-03-14,98242.32055721123,1.9434911523999998,94605.98600727
2023-03-15,99127.98489950343,1.9583231523999998,95014.55498727
2023-03-16,99594.45063480758,1.9511921524,95298.20239727001
2023-03-17,99438.55004017855,1.9504389738999999,99467.76884795999
2023-03-18,99438.46865756095,1.9504389738999999,99467.76884795999
2023-03-19,99438.46861695018,1.9504389738999999,99467.76884795999
2023-03-20,99438.46861692972,1.9504389738999999,99467.76884795999
2023-03-21,100825.39917116903,1.9675627936,102389.44085514
2023-03-22,100670.20369238935,1.9668603138999998,99965.08362927
2023-03-23,100670.1285283209,1.9668603138999998,99965.08362927
2023-03-24,100670.12849028684,1.9668603138999998,99965.08362927
2023-03-25,100670.12849026822,1.9668603138999998,99965.08362927
2023-03-26,100670.12849026822,1.9668603138999998,99965.08362927
2023-03-27,100670.12849026822,1.9668603138999998,99965.08362927
2023-03-28,100670.12849026822,1.9668603138999998,99965.08362927
2023-03-29,100670.12849026822,1.9668603138999998,99965.08362927
2023-03-30,100670.12849026822,1.9668603138999998,99965.08362927
2023-03-31,100670.12849026822,1.9668603138999998,99965.08362927
2023-04-01,100670.12849026822,1.9668603138999998,99965.08362927
2023-04-02,100670.12849026822,1.9668603138999998,99965.08362927
2023-04-03,100670.12849026822,1.9668603138999998,99965.08362927
2023-04-04,99214.52929074287,1.9505906149999996,96481.36790138
2023-04-05,98091.6441366786,1.9406274149999996,95977.95408137998
2023-04-06,98895.36582477807,1.9500602149999997,96354.68996138
2023-04-07,98945.72669400304,1.9523196149999997,96373.10640138
2023-04-08,99435.21773870623,1.9561936149999997,96594.47350138001
2023-04-09,99737.73740606959,1.9535676149999996,96752.63870138
2023-04-10,100283.73944266897,1.9402348149999997,97068.72892138
2023-04-11,101736.66648040948,1.945523215,97764.01246138001
2023-04-12,101585.64302101392,1.9447861695999997,100593.43223464
2023-04-13,101585.56638017087,1.9447861695999997,100593.43223464
2023-04-14,99210.99042363829,1.9247644095999998,97966.33181659
2023-04-15,99166.46127087533,1.9268302095999998,97952.20111658999
2023-04-16,98484.08296469908,1.9206548095999998,97632.08801658999
2023-04-17,98196.54570077502,1.9304822095999998,97523.79991659
2023-04-18,98932.20551688511,1.9239922095999997,97862.95921659
2023-04-19,100617.2799134817,1.9613416095999998,98702.67461659
2023-04-20,99474.72992175115,1.9593066095999998,98197.01751659
2023-04-21,100628.7227274343,1.9800306095999998,98589.18041659
2023-04-22,100687.96432655715,1.9744470095999997,98691.90131659
2023-04-23,100704.02803221878,1.9771222095999998,98670.85561659
2023-04-24,101202.66863672431,1.9815574096,98848.41531658999
2023-04-25,101666.11764354886,1.9762202095999999,99133.72441659
2023-04-26,101511.24368666683,1.9756043965999999,100671.74620629
2023-04-27,101511.16542079678,1.9756043965999999,100671.74620629
2023-04-28,101511.16538103511,1.9756043965999999,100671.74620629
2023-04-29,101511.16538101537,1.9756043965999999,100671.74620629
2023-04-30,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-01,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-02,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-03,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-04,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-05,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-06,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-07,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-08,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-09,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-10,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-11,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-12,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-13,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-14,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-15,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-16,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-17,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-18,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-19,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-20,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-21,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-22,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-23,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-24,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-25,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-26,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-27,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-28,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-29,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-30,101511.16538101535,1.9756043965999999,100671.74620629
2023-05-31,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-01,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-02,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-03,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-04,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-05,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-06,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-07,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-08,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-09,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-10,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-11,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-12,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-13,101511.16538101535,1.9756043965999999,100671.74620629
2023-06-14,99792.41334466948,1.9517415498,103060.61764380001
2023-06-15,99466.6769166638,1.9559041497999998,102900.07607380001
2023-06-16,99843.42534365493,1.9691537497999998,102999.6658538
2023-06-17,99881.27626477274,1.9717121497999999,102996.1929738
2023-06-18,99942.93362800922,1.9699415498,103045.8366438
2023-06-19,99646.14432657385,1.9741431498,102859.2615238
2023-06-20,99138.30722144173,1.9884119498,102428.8753638
2023-06-21,99941.75662502987,2.0136631498,102404.1550238
2023-06-22,99508.31013068318,2.0092171497999995,102255.4197238
2023-06-23,99169.59532330577,2.0145783498,101886.9593838
2023-06-24,98777.75715210204,2.0099841497999997,101772.7665738
2023-06-25,99641.02923230572,2.0161825498,102156.7061938
2023-06-26,98565.79908052261,2.0058267497999998,101762.0285038
2023-06-27,99049.92957767518,2.0137853498,101841.4072338
2023-06-28,97758.05265540548,1.9977797497999998,101487.3791538
2023-06-29,98083.7316979917,2.0040119497999997,101518.92586380002
2023-06-30,100746.84090145066,2.0252799498,102635.24276380001
2023-07-01,100596.04603911756,2.0245283678,99518.65886709001
2023-07-02,100595.97044437466,2.0245283678,99518.65886709001
2023-07-03,100595.97040624415,2.0245283678,99518.65886709001
2023-07-04,100595.97040622501,2.0245283678,99518.65886709001
2023-07-05,100595.970406225,2.0245283678,99518.65886709001
2023-07-06,100595.970406225,2.0245283678,99518.65886709001
2023-07-07,100595.970406225,2.0245283678,99518.65886709001
2023-07-08,100595.970406225,2.0245283678,99518.65886709001
2023-07-09,100595.970406225,2.0245283678,99518.65886709001
2023-07-10,100595.970406225,2.0245283678,99518.65886709001
2023-07-11,100595.970406225,2.0245283678,99518.65886709001
2023-07-12,100595.970406225,2.0245283678,99518.65886709001
2023-07-13,100595.970406225,2.0245283678,99518.65886709001
2023-07-14,100595.970406225,2.0245283678,99518.65886709001
2023-07-15,100595.970406225,2.0245283678,99518.65886709001
2023-07-16,100595.970406225,2.0245283678,99518.65886709001
2023-07-17,100595.970406225,2.0245283678,99518.65886709001
2023-07-18,100595.970406225,2.0245283678,99518.65886709001
2023-07-19,100595.970406225,2.0245283678,99518.65886709001
2023-07-20,100595.970406225,2.0245283678,99518.65886709001
2023-07-21,100595.970406225,2.0245283678,99518.65886709001
2023-07-22,100595.970406225,2.0245283678,99518.65886709001
2023-07-23,100595.970406225,2.0245283678,99518.65886709001
2023-07-24,100595.970406225,2.0245283678,99518.65886709001
2023-07-25,100595.970406225,2.0245283678,99518.65886709001
2023-07-26,100595.970406225,2.0245283678,99518.65886709001
2023-07-27,100595.970406225,2.0245283678,99518.65886709001
2023-07-28,100595.970406225,2.0245283678,99518.65886709001
2023-07-29,100595.970406225,2.0245283678,99518.65886709001
2023-07-30,100595.970406225,2.0245283678,99518.65886709001
2023-07-31,100595.970406225,2.0245283678,99518.65886709001
