Date,Custom,Standard,NautilusTrader
2023-01-01,100000.0,2.0,100000.0
2023-01-02,100250.47326285933,2.0,100113.82411925
2023-01-03,100265.73088059455,1.998997862,100121.01966924999
2023-01-04,101504.52516149705,2.010740262,100677.64961925
2023-01-05,101321.6253397297,2.009072862,100596.60191925
2023-01-06,101718.15059847047,2.013140862,100771.28221925
2023-01-07,101526.68966144815,2.011457262,100685.85846925
2023-01-08,102079.45723335772,2.0171644619999998,100925.50871924999
2023-01-09,103192.63669717837,2.0270386620000003,101423.79306925001
2023-01-10,103088.30284582447,2.027273462,101353.98981924998
2023-01-11,103952.59355335377,2.036578662,101681.38806925
2023-01-12,102727.6807041078,2.0280622619999997,100955.62471925
2023-01-13,101668.03559613635,2.019095262,100150.02471925001
2023-01-14,103641.14943829266,2.0341290620000003,100612.44161925
2023-01-15,103900.18907885725,2.0367406619999997,100774.47711924999
2023-01-16,104323.60253488924,2.039248862,100806.80321925
2023-01-17,103941.88519775214,2.036172462,100662.59116925
2023-01-18,102530.13273742633,2.025828862,100266.92106925
2023-01-19,103421.10907179992,2.0322240619999996,100476.73636925
2023-01-20,104940.80925933953,2.038986462,100330.06931924999
2023-01-21,103422.55926837584,2.025190062,99575.24801925
2023-01-22,103573.2191737058,2.026984262,99692.36691925
2023-01-23,103195.35678722727,2.022398862,99388.36576925
2023-01-24,100709.42536790701,2.0027548619999997,98454.21176924999
2023-01-25,102355.19128040159,2.014343062,98923.85741925
2023-01-26,101980.43870750107,2.0114628619999997,98789.79896925
2023-01-27,101736.67166660877,2.008923462,98637.42081925
2023-01-28,100753.78957481461,2.0007674619999998,98228.91481925
2023-01-29,102668.28040301628,2.0125166620000003,98615.70291925
2023-01-30,100720.96258561948,2.002572462,98384.24491925
2023-01-31,101046.81891624417,2.003479662,98338.12616925
2023-02-01,102466.76503775424,2.0116150619999997,98571.71651925001
2023-02-02,102875.10260218369,2.017007862,98928.81451925
2023-02-03,103806.4162681466,2.025492662,99388.39051925
2023-02-04,104080.32814747776,2.028623462,99584.30661925
2023-02-05,103113.15333446968,2.0230524620000003,99417.33401925
2023-02-06,102761.44874286297,2.021157462,99371.94176925
2023-02-07,104372.71503342636,2.0320250619999998,99788.32106925
2023-02-08,103929.77868455612,2.030158262,99777.90906924999
2023-02-09,101350.80853756284,2.015662462,99387.76086924999
2023-02-10,100293.79373857452,2.007461262,99014.28961924999
2023-02-11,100941.35541062502,2.011876062,99169.91026925
2023-02-12,100088.78704879747,2.004931462,98833.13006925
2023-02-13,99705.79410073569,2.001670462,98666.22851925
2023-02-14,101079.35080840604,2.0113222619999997,99035.75546925
2023-02-15,102554.87906278478,2.0117536620000003,98394.04471925
2023-02-16,102093.08842606409,2.014531462,98790.84571924999
2023-02-17,102900.22985750253,2.0136572619999997,98416.31386925
2023-02-18,102720.43317641418,2.011607662,98290.18961924998
2023-02-19,102699.69268580429,2.014538262,98555.39726925001
2023-02-20,102904.8982708932,2.011596662,98223.95806924999
2023-02-21,101596.1261292487,2.003733862,97936.42311924999
2023-02-22,101262.82188764415,2.003149662,97990.46121924999
2023-02-23,101898.58674448614,2.010650262,98456.65476925
2023-02-24,101168.8221732244,2.010365662,98677.81551925
2023-02-25,100657.45901430864,2.006170862,98468.18941924999
2023-02-26,102013.24300603292,2.015056062,98806.45931924999
2023-02-27,101772.39141259866,2.013463662,98743.21756925
