Date,Open,High,Low,Close,Volume,funding_rate,funding_mean_3,funding_mean_14,funding_mean_30,funding_vol_3,funding_vol_14,funding_vol_30,funding_z_5,funding_z_20,funding_z_60,btc_vol_5,btc_vol_20,btc_vol_60,btc_rsi_7,btc_rsi_14,btc_rsi_28,btc_sma_10,btc_sma_50,btc_sma_200
2020-01-01,7195.24,7255.0,7175.15,7200.85,16792.388165,-0.00034406,,,,,,,,,,,,,,,,,,
2020-01-02,7200.77,7212.5,6924.74,6965.71,31951.483932,0.00013766,,,,,,,,,,,,,,,,,,
2020-01-03,6965.49,7405.0,6871.04,7344.96,68428.500451,6.783e-05,-4.618999999999999e-05,,,0.00026031511654147174,,,,,,,,,,,,,,
2020-01-04,7345.0,7404.0,7272.21,7354.11,29987.974977,0.00017471,0.00012673333333333334,,,5.427133343979438e-05,,,,,,,,,,,,,,
2020-01-05,7354.19,7495.0,7318.0,7358.75,38331.085604,0.00030000000000000003,0.00018084666666666666,,,0.00011620658859691797,,,0.9505380071449552,,,,,,,,,,,
2020-01-06,7357.64,7795.34,7346.76,7758.0,54635.695316,0.00030000000000000003,0.0002582366666666667,,,7.233621522676829e-05,,,1.015458220146349,,,0.7145490861561465,,,,,,,,
2020-01-07,7758.9,8207.68,7723.71,8145.28,91171.684661,0.00030000000000000003,0.00030000000000000003,,,0.0,,,0.6812365391364912,,,0.5303500607003909,,,83.37892571618325,,,,,
2020-01-08,8145.92,8455.0,7870.0,8055.98,112622.64264,0.00032514,0.00030838,,,1.4514585767427445e-05,,,0.754712315637059,,,0.5715910924465278,,,78.42833491794939,,,,,
2020-01-09,8054.72,8055.96,7750.0,7817.76,64239.51983,0.00030000000000000003,0.00030838,,,1.4514585767427445e-05,,,-0.446816176508677,,,0.7045484791540841,,,78.2680530027704,,,,,
2020-01-10,7817.74,8199.0,7672.0,8197.02,82406.777448,0.00030000000000000003,0.00030838,,,1.4514585767427445e-05,,,-0.4468161765086722,,,0.7462922483448655,,,78.26819719988404,,,7619.842,,
2020-01-11,8198.86,8286.34,8003.16,8020.01,54810.032667,0.00037846,0.00032615333333333335,,,4.529890212061811e-05,,,1.6945517579677045,,,0.733472393131159,,,69.87808664084582,,,7701.757999999999,,
2020-01-12,8020.01,8197.0,7960.0,8184.98,38131.494336,0.00030000000000000003,0.00032615333333333335,,,4.529890212061811e-05,,,-0.6080899276946807,,,0.6156076711960176,,,72.50952165595042,,,7823.685,,
2020-01-13,8184.97,8196.0,8055.89,8110.34,31159.755683,0.00030000000000000003,0.00032615333333333335,,,4.529890212061811e-05,,,-0.44708617833368913,,,0.6124928511010345,,,61.66163581960234,,,7900.223,,
2020-01-14,8110.34,8880.0,8105.54,8810.01,120399.126742,0.000459,0.000353,0.00023562428571428573,,9.179869280115052e-05,0.0001931157060781591,,1.5704884396515308,,,0.8111753925573555,,,68.23106079303169,74.84974272492116,,8045.812999999999,,
2020-01-15,8814.64,8916.48,8564.0,8821.41,84816.297606,0.00078889,0.0005159633333333333,0.00031654928571428573,,0.0002493731622154504,0.00016714868735370295,,1.6921254329483941,,,0.7846010168160882,,,71.92995524788398,74.93798435294292,,8192.079,,
2020-01-16,8820.01,8859.81,8586.0,8720.01,51991.074284,0.00082657,0.0006914866666666667,0.00036575714285714286,,0.0002022188992980957,0.00020707168128744402,,1.1316750611082633,,,0.744892062798359,,,78.04893213538433,78.1549315666136,,8288.279999999999,,
2020-01-17,8720.15,9041.65,8672.44,8913.28,70897.737377,0.0008177600000000001,0.0008110733333333333,0.0004193235714285715,,1.9709876542824968e-05,0.00022062808666333778,,0.736760893430288,,,0.745704089229678,,,75.17857645036939,76.76807329674841,,8365.08,,
2020-01-18,8913.27,8988.88,8806.38,8915.96,38294.746545,0.0007126299999999999,0.0007856533333333334,0.0004577464285714286,,6.339329170608987e-05,0.0002215890552909265,,-0.05444968632692361,,,0.7192725453630187,,,85.89456984202297,76.71664973191582,,8451.078,,
2020-01-19,8915.09,9198.98,8466.0,8701.7,70676.889259,0.00151837,0.0010162533333333333,0.0005447728571428571,,0.00043801134623812365,0.0003543499201990244,,1.7722422493710912,,,0.3277318155603155,,,69.91490148918632,71.43500148435334,,8539.472,,
2020-01-20,8701.72,8746.99,8521.28,8642.35,38896.639746,0.00050484,0.0009119466666666667,0.0005594042857142858,,0.0005353560641604178,0.00034763088702097374,,-0.9723298590090849,0.21529006166117604,,0.3265689322129859,,,70.74873442895294,65.8331871192884,,8584.005000000001,,
2020-01-21,8642.35,8789.0,8488.0,8736.03,36494.687659,0.00043222000000000003,0.0008184766666666667,0.0005688485714285715,,0.0006072120096254136,0.00034178834797749734,,-0.8448432586549514,-0.09018014951961295,,0.3356641841297913,0.6147396019185875,,44.52843027035211,61.81920763788451,,8655.607,,
2020-01-22,8736.04,8818.0,8590.0,8682.36,29080.557138,0.00041392,0.0004503266666666667,0.00057519,,4.8088461540512946e-05,0.0003377182001200227,,-0.6522541387702347,-0.1917015284785434,,0.24448076602233312,0.588829746871911,,40.32103130956243,62.71331612187324,,8705.345,,
2020-01-23,8682.77,8691.81,8306.39,8404.52,48165.944597,0.00072304,0.00052306,0.0006054071428571428,,0.00017342930202246694,0.00033004004434027676,,0.009837372383798835,0.6835997656411276,,0.32430601671601633,0.5849959173003522,,32.36993573621382,61.72066637366212,,8734.763,,
2020-01-24,8404.52,8528.02,8238.0,8439.0,41687.529529,0.00114791,0.0007616233333333334,0.0006659721428571428,,0.0003685130055145047,0.00034704530398513083,,1.6393748662753451,1.7693273819445552,,0.31503884692528183,0.5846084893848833,,17.7781401162936,55.60574891578735,,8697.662,,
2020-01-25,8438.99,8451.26,8254.9,8340.58,25521.157932,0.00030000000000000003,0.00072365,0.000660367857142857,,0.0004239553291326812,0.0003526338724551957,,-0.8869662457933813,-0.7714012386509979,,0.31879294724594087,0.5895117951786972,,15.409402428747399,57.70701004453425,,8649.579000000002,,
2020-01-26,8340.01,8618.13,8293.66,8615.0,31130.485164,0.00030000000000000003,0.0005826366666666667,0.000660367857142857,,0.0004895410667485757,0.0003526338724551957,,-0.7628169430886115,-0.7714012386509979,,0.4540372629212313,0.5644032770172134,,45.13937165022354,59.82148567039545,,8639.078,,
2020-01-27,8614.39,9000.0,8535.0,8907.57,53973.542996,0.00030000000000000003,0.00030000000000000003,0.000660367857142857,,0.0,0.0003526338724551957,,-0.670500634443078,-0.7714012386509979,,0.5440981529357327,0.5452039592845414,,61.786717388947196,66.55989963063875,,8638.507,,
2020-01-28,8907.57,9400.0,8862.4,9374.21,74584.853765,0.00133083,0.0006436100000000001,0.0007226414285714287,,0.0005951499779887419,0.00038940160477045056,,1.2632404500179797,1.951116003223136,,0.48145555455738,0.5750010033208589,,71.30049931907695,62.975603473612665,70.07960294608579,8684.332,,
2020-01-29,9375.34,9449.24,9216.0,9301.53,53864.065122,0.00224211,0.00129098,0.0008264428571428571,,0.0009716680656993928,0.0005632861331703257,,1.5389457867069047,2.9974003120578634,,0.5296807482015957,0.5545572623202465,,70.40703997887398,60.739209791673396,69.15092241095999,8744.315,,
2020-01-30,9301.57,9578.0,9204.44,9513.21,60626.744259,0.00083329,0.0014687433333333336,0.0008269228571428571,0.000549704,0.0007144637945573819,0.0005632891130388832,0.0004982888546893119,-0.20595561845057003,0.20177530089378962,,0.4137924781201349,0.5309032286212073,,88.20723831574989,66.90796541664807,73.3241410123629,8831.401,,
2020-01-31,9511.52,9530.22,9210.01,9352.89,45552.022352,0.00170563,0.0015936766666666668,0.0008903421428571428,0.000618027,0.0007110510598637293,0.0006102057866651792,0.0005118516608398206,0.5619288764718495,1.6762442517241822,,0.542697153624317,0.5261618216324612,,78.98054835003127,59.50430018719183,69.15177932714754,8893.087,,
2020-02-01,9351.71,9464.53,9281.0,9384.61,28578.067354,0.0018971,0.0014786733333333336,0.0009749471428571429,0.000676675,0.0005670581323227214,0.0006634601616864835,0.0005539780652308325,0.5455457197859247,1.7556906183140837,,0.5170835801145355,0.523296506250622,,84.56984298321288,60.00649092761167,69.28402650089771,8963.312,,
