,lgbm_net,rf_net,lr_net,buy_and_hold
2021-07-23 00:00:00+00:00,1.0,1.0,1.0,1.0
2021-07-24 00:00:00+00:00,1.027867610022925,1.027867610022925,1.0,1.027867610022925
2021-07-25 00:00:00+00:00,1.0257116361393948,1.027867610022925,1.0,1.030023583906455
2021-07-26 00:00:00+00:00,1.0441341410867135,1.027867610022925,1.017960705814607,1.048523534479106
2021-08-03 00:00:00+00:00,1.1751354956052318,1.1568280987955382,1.1456782337268234,1.18007560030692
2021-08-04 00:00:00+00:00,1.0728835616571735,1.1568280987955382,1.045989461224527,1.2827573870349707
2021-08-05 00:00:00+00:00,1.1129641292082562,1.2000446494221018,1.00691359804924,1.3306783785946623
2021-08-06 00:00:00+00:00,1.1387527065618506,1.2278509762004899,1.00691359804924,1.3615116295490808
2021-08-07 00:00:00+00:00,1.0320706772529964,1.2278509762004899,0.9125826819867908,1.4890624338026572
2021-08-08 00:00:00+00:00,0.9833914839378255,1.2278509762004899,0.9125826819867908,1.4188285247583938
2021-08-09 00:00:00+00:00,1.032126142821787,1.2278509762004899,0.8673571472567698,1.489142459034142
2021-08-10 00:00:00+00:00,1.0257802292160225,1.220301670071668,0.8726899968896505,1.479986631078975
2021-08-11 00:00:00+00:00,1.0200574875890247,1.220301670071668,0.8678213327933636,1.488243352021578
2021-08-12 00:00:00+00:00,1.0570910026151732,1.264605114519537,0.8993278652771128,1.4342121986696976
2021-08-13 00:00:00+00:00,0.9608517756691926,1.264605114519537,0.817451642405924,1.564785132253463
2021-08-14 00:00:00+00:00,0.9775620151164556,1.264605114519537,0.83166800025326,1.53757184618209
2021-08-15 00:00:00+00:00,0.9637948427735497,1.246795465322768,0.8199554781682008,1.5592257323485519
2021-08-16 00:00:00+00:00,1.0119451579862462,1.246795465322768,0.8609197093323352,1.4813282305479842
2021-08-17 00:00:00+00:00,1.0544542958914402,1.246795465322768,0.8970846678387182,1.4191015520187538
2021-08-18 00:00:00+00:00,1.0543178825301773,1.246634169038145,0.897200722498796,1.4189179647229948
2021-08-19 00:00:00+00:00,1.0543178825301773,1.246634169038145,0.8458406877746798,1.5001435746800165
2021-08-20 00:00:00+00:00,1.021293528622131,1.246634169038145,0.8193464561148115,1.5471325076612386
2021-08-21 00:00:00+00:00,1.0400064605380885,1.246634169038145,0.8343591571837619,1.5187847462494053
2021-08-22 00:00:00+00:00,1.0400064605380885,1.246634169038145,0.8305085472623429,1.5257940150541578
2021-08-23 00:00:00+00:00,1.066227294821714,1.246634169038145,0.8095696129237683,1.5642626145655332
2021-08-24 00:00:00+00:00,1.0184092462009513,1.246634169038145,0.8458771050510956,1.4941087307527543
2021-08-25 00:00:00+00:00,1.0011083726746042,1.246634169038145,0.8315072307909064,1.519490851233094
2021-08-26 00:00:00+00:00,1.0427077611398121,1.246634169038145,0.8660591267189042,1.4563509435916258
2021-08-27 00:00:00+00:00,1.1034211871836763,1.246634169038145,0.8156313667085792,1.5411494447661136
2021-08-28 00:00:00+00:00,1.1123930501862724,1.246634169038145,0.8222632249398019,1.5286184349889134
2021-08-29 00:00:00+00:00,1.1198677187114319,1.246634169038145,0.8277883808600266,1.5183469611595177
2021-08-30 00:00:00+00:00,1.1215898069295238,1.246634169038145,0.8265154406779551,1.5206818149722494
2021-08-31 00:00:00+00:00,1.0521299341651176,1.246634169038145,0.7753294750133124,1.6148573903301269
2021-09-01 00:00:00+00:00,1.1751011415155264,1.392338709810992,0.6847102477289921,1.8035992524701898
2021-09-02 00:00:00+00:00,1.1620694752221759,1.376897916850677,0.6923035647132082,1.78359765196556
2021-09-03 00:00:00+00:00,1.1148868077105487,1.376897916850677,0.6641944631427257,1.8560157790927012
2021-09-04 00:00:00+00:00,1.1298960249788474,1.376897916850677,0.6641944631427257,1.8310290774032274
