Date,Custom,Standard,NautilusTrader
2021-07-23,1.0,1.0,1.0
2021-07-24,0.999325,1.0,1.4618621646641
2021-07-25,0.9979769230665625,0.9984309379999998,0.35097288719959996
2021-07-26,0.9966306646720572,1.0049620479999999,1.1683536995803
2021-08-03,1.0528992827069785,1.060854048,1.1885251223803
2021-08-04,1.0514789347358477,1.0177987455,0.44813491269360006
2021-08-05,1.0500605027963759,1.0326561205,1.1909842840686
2021-08-06,1.0610094674631096,1.0431361205,1.1958312840686
2021-08-07,1.0595781789541203,0.9983910213,0.40452854714610004
2021-08-08,1.0581488212354384,0.9760795543,1.1149442599421
2021-08-09,1.0817465798210577,0.9969913543,1.1235405034421
2021-08-10,1.0787536300987994,0.9942683543,1.1224211559420998
2021-08-11,1.0772984049362166,0.9904894869,0.43144833028810003
2021-08-12,1.0948986541560097,1.0065586869,0.44988773728810005
2021-08-13,1.050042071411697,0.9677254868999999,0.4053266402881
2021-08-14,1.0582596807238576,0.9758188869,0.4146138167881
2021-08-15,1.0515530376339537,0.9693788869,0.40722391678810005
2021-08-16,1.0751936233582517,0.9925460868999999,0.4338082787881
2021-08-17,1.0955183407030962,1.0110526869,0.45504460228810006
2021-08-18,1.0940405001554672,1.0096857228499998,1.1638493621713
2021-08-19,1.0933020228178623,1.0090165030999998,0.9587577299675001
2021-08-20,1.0925640439524602,0.9943668834999998,0.5131679708915
2021-08-21,1.101572506454078,1.0027976834999999,0.5213205544915
2021-08-22,1.1008289450122215,1.0021215415999998,0.9520943534435
2021-08-23,1.1000858854743383,1.0121130900499997,1.3906871646752
2021-08-24,1.0778844446780396,0.9927391900499998,1.3709883792751998
2021-08-25,1.0764303920357245,0.9839076240999997,0.3135607227120001
2021-08-26,1.0965585632360988,1.0026858240999998,0.33963291211200014
2021-08-27,1.0950793194412753,1.0265948238999996,1.1171909996361
2021-08-28,1.0936020711278405,1.0290052934999996,0.4647082000757001
2021-08-29,1.0969088527015234,1.0320600934999997,0.4680588792757001
2021-08-30,1.0954291363705897,1.0313997960999999,1.1806886883294
2021-08-31,1.09395141615849,1.0020318196999998,0.40473942317770006
2021-09-01,1.092475689372485,1.0527659712499997,1.1383398887711
2021-09-02,1.087023775361396,1.0472422712499996,1.1360840946711
2021-09-03,1.0855573938762306,1.0273581187499996,0.4208901283025999
2021-09-04,1.0921338597570225,1.0337277187499996,0.4280522127025999
2021-09-05,1.0841928369330645,1.0261857187499996,0.41957186220259995
